pixel,wavelength_nm,background_mean,illuminated_mean,subtracted
126,620.723289,121.333333,125.375000,4.041667
127,622.841892,122.791667,126.500000,3.708333
128,624.954281,121.958333,125.958333,4.000000
129,627.060444,122.250000,126.541667,4.291667
130,629.160371,122.750000,126.750000,4.000000
131,631.254051,121.083333,125.291667,4.208333
132,633.341473,122.583333,126.208333,3.625000
133,635.422626,120.875000,123.958333,3.083333
134,637.497502,120.541667,123.375000,2.833333
135,639.566091,122.000000,124.666667,2.666667
136,641.628383,119.500000,121.791667,2.291667
137,643.684370,120.208333,122.750000,2.541667
138,645.734043,121.625000,123.791667,2.166667
139,647.777395,119.375000,121.250000,1.875000
140,649.814417,120.625000,122.791667,2.166667
141,651.845102,120.458333,122.541667,2.083333
142,653.869444,120.000000,122.000000,2.000000
143,655.887435,123.416667,125.666667,2.250000
